id	name	barcode	instr_id	instrument_name	state	created_by	created_at
947	120217_M00146_0029_AMS0009471-00300fail	AMS0009471fail	28979	m146	Failed	24	2012-03-07 11:51:55-05
995	120502_SN7001205_0080_Ac0thgacxx	c0thg	49099	h1205	Completed	24	2012-05-03 14:19:13-04
1011	120529_M00753_0003_A000000000-A0JMJ	A000000000-A0JMJ	55199	m753	Completed	24	2012-05-30 15:13:44-04
1023	120605_h239_0154_AD132NACXX	D132N	8942	h239	Completed	24	2012-06-05 16:46:00-04
1085	120822_SN1080_0115_BC0MPEACXX	C0MPE	29089	h1080	Completed	24	2012-08-22 14:56:34-04
598	110110_SN203_0094_B816TLABXX	816TL	8940	h203	Completed	38	2011-01-11 15:39:03-05
605	110215_SN203_0103_A818R2ABXX	818R2	8940	h203	Completed	38	2011-02-16 12:26:23-05
810	110804_SN203_0122_AB01JFACXX	B01JF	8940	h203	Completed	38	2011-08-09 11:31:48-04
1079	120730_M00753_0014_A000000000-A1309_MISTAKE	A1309_MISTAKE	55199	m753	Failed	24	2012-08-10 13:39:14-04
912	120201_h803_0080_AD0JHUACXX_fail	D0JHU_fail	18188	h803	Failed	24	2012-02-03 12:06:54-05
799	Solid234088088_2011_06_08_1_9Ptest	234088088_2011_06_08_1	23739	x088	Completed	24	2011-07-12 11:15:17-04
871	111215_h393_0201_BD0DDHACXX	D0DDH	12299	h393	Failed	24	2011-12-20 10:06:31-05
812	110819_I581_00037_62VVG_AP	62VVG	2828	i581	Failed	38	2011-08-23 10:28:30-04
887	111216_h801_0065_AD0813ACXX	D0813_1	18185	h801	Completed	24	2012-01-09 11:39:04-05
813	110901_I1551_00027_636RR_AP	636RR	3898	i1551	Completed	38	2011-09-02 09:34:42-04
816	110909_SN393_0184_BC00ERACXX	C00ER	12299	h393	Completed	24	2011-09-22 13:33:56-04
798	110706_SN804_0062_BD05E7ACXX	D05E7	18186	h804	Completed	38	2011-07-07 14:19:05-04
809	110805_SN803_0063_AB01E5ACXX	B01E5	18188	h803	Completed	38	2011-08-09 11:13:37-04
811	110819_SN393_0183_AB02B9ACXX	B02B9	12299	h393	Completed	24	2011-08-22 15:34:13-04
815	110901_SN803_0064_BC046BACXX	C046B	18188	h803	Completed	24	2011-09-13 15:08:59-04
817	110915_SN203_0124_BC00C4ACXX	C00C4	8940	h203	Completed	24	2011-09-26 14:11:24-04
818	110915_h239_0128_BC055RACXX	C055R	8942	h239	Completed	24	2011-09-26 14:17:49-04
819	110915_SN802_0068_AC00E7ACXX	C00E7	18187	h802	Completed	24	2011-09-26 14:22:45-04
866	111212_h1080_0086_AC045BACXX	C045B	29089	h1080	Completed	24	2011-12-19 16:19:20-05
899	120119_h804_0077_BD083LACXX	D083L	18186	h804	Completed	24	2012-01-23 09:32:40-05
914	120202_h239_0142_BC0GHMACXX	C0GHM	8942	h239	Completed	24	2012-02-07 09:23:13-05
921	120214_h803_0083_AC0C70ACXX	C0C70	18188	h803	Completed	24	2012-02-22 16:37:30-05
931	120203_M00146_0026_AMS0001328-00300	AMS0001328	28979	m146	Completed	24	2012-02-23 16:01:26-05
936	120302_SN801_0070_AD0RUUACXX	D0RUU	18185	h801	Completed	24	2012-03-02 17:18:09-05
904	120125_h239_0140_BC0GRMACXX_moved	C0GRM_moved	8942	h239	Failed	24	2012-01-27 15:58:07-05
827	110915_SN203_0123_AC00R9ACXX_failed	C00R9_failed	8940	h203	Failed	24	2011-09-26 15:37:33-04
822	110916_SN393_0186_AC00F2ACXX	C00F2	12299	h393	Failed	24	2011-09-26 14:41:10-04
872	111216_h203_0135_Ad0e6racxx	d0e6r	8940	h203	Failed	24	2011-12-20 10:11:21-05
74	090203_I320_31051_LT	31051	2826	i320	Completed	24	2009-05-07 09:53:35-04
89	090423_I320_304CW_LT	304CW	2826	i320	Completed	24	2009-05-07 12:18:52-04
72	090128_I320_30LBL_LT	30LBL	2826	i320	Completed	24	2009-05-07 09:45:44-04
84	090408_I320_314P1_LT	314P1	2826	i320	Completed	24	2009-05-07 11:31:29-04
45	090318_i320_310UH_LT	310UH	2826	i320	Completed	24	2009-03-28 14:32:59-04
22	081114_i320_30KHK_LT	30KHK_1	2826	i320	Completed	9	2008-11-16 15:35:05-05
24	081201_i320_307WR_LT	307WR	2826	i320	Completed	9	2008-12-02 14:36:43-05
56	090327_i320_3016V_LT	3016V	2826	i320	Completed	24	2009-03-28 15:07:22-04
166	090624_i320_GAIIX_validation_run	090624_i320_GAIIX_validation_run	2826	i320	Completed	24	2009-06-25 16:58:09-04
171	090703_i320_42HAF_LT	42HAF	2826	i320	Completed	24	2009-07-07 15:22:48-04
175	090120_i320_30D7A_2_LT	30D7A	2826	i320	Completed	24	2009-07-15 13:09:04-04
160	090611_i320_42847_LT	42847	2826	i320	Completed	24	2009-06-11 16:41:27-04
125	090529_i320_30H52_LT	30H52	2826	i320	Completed	24	2009-05-29 16:08:41-04
117	090527_I581_304RJ_LT	304RJ	2828	i581	Completed	24	2009-05-28 17:00:00-04
102	090513_I581_302KJ_LT	302KJ	2828	i581	Completed	24	2009-05-15 16:45:59-04
80	090406_I581_300TA_LT	300TA	2828	i581	Completed	24	2009-05-07 11:03:36-04
